Wall time,Step,Value
1668796494.526162,0,1.5780302286148071
1668796544.8280053,10,1.2265207767486572
1668796595.6878557,20,1.172669529914856
1668796646.1940644,30,1.140312671661377
1668796696.099301,40,1.1191376447677612
1668796746.0738134,50,1.1083564758300781
1668796795.8136854,60,1.0935412645339966
1668796846.695531,70,1.0870667695999146
1668796898.0202963,80,1.0741156339645386
1668796948.3529618,90,1.0693646669387817
1668796997.828126,100,1.0659801959991455
1668797048.2582927,110,1.058562994003296
1668797099.3645246,120,1.0550103187561035
1668797149.933223,130,1.0477466583251953
1668797200.9852319,140,1.04599928855896
1668797250.6771748,150,1.037078857421875
1668797301.0824337,160,1.0397175550460815
1668797350.846139,170,1.0395370721817017
1668797401.8708048,180,1.035378098487854
1668797452.4099271,190,1.0308825969696045
1668797503.2983878,200,1.0293481349945068
1668797554.6706188,210,1.026381254196167
1668797605.6589012,220,1.02724027633667
1668797655.8736453,230,1.0231693983078003
1668797706.263694,240,1.0176396369934082
