Wall time,Step,Value
1668793978.587731,0,1.5740810632705688
1668794030.0103066,10,1.2305653095245361
1668794079.938392,20,1.1727946996688843
1668794129.5477953,30,1.1414263248443604
1668794179.7419102,40,1.120266318321228
1668794229.2075362,50,1.1067856550216675
1668794279.3509274,60,1.093691349029541
1668794328.6878674,70,1.081770658493042
1668794378.2496936,80,1.0790715217590332
1668794427.4226768,90,1.0674669742584229
1668794477.4163744,100,1.0621856451034546
1668794528.0463066,110,1.0576726198196411
1668794579.0111666,120,1.055877923965454
1668794627.8924336,130,1.049446940422058
1668794678.504562,140,1.0400723218917847
1668794729.5090322,150,1.0447603464126587
1668794780.4455707,160,1.0361323356628418
1668794829.454272,170,1.0301259756088257
1668794879.9774094,180,1.0292279720306396
1668794930.2798002,190,1.0296467542648315
1668794978.8519871,200,1.0250506401062012
1668795028.8255055,210,1.0246015787124634
1668795078.8766572,220,1.022700309753418
1668795129.159448,230,1.019658088684082
1668795179.5813472,240,1.0182476043701172
