Wall time,Step,Value
1668718339.6640465,0,2.5246737003326416
1668719354.2482417,10,1.7813966274261475
1668720368.0842345,20,1.6524522304534912
1668721381.655737,30,1.5979058742523193
1668722397.801883,40,1.5583499670028687
1668723412.4860117,50,1.5189905166625977
1668724425.8614402,60,1.5048060417175293
1668725437.3899503,70,1.4763422012329102
1668726449.1051235,80,1.4567151069641113
1668727463.0743134,90,1.4372175931930542
1668728476.4430199,100,1.4229309558868408
1668729490.7877855,110,1.4120800495147705
1668730501.442728,120,1.4006202220916748
1668731514.922765,130,1.3923157453536987
1668732527.3244214,140,1.3780572414398193
1668733539.6266222,150,1.3804081678390503
1668734551.328073,160,1.368844985961914
1668735562.8225203,170,1.3599492311477661
1668736575.6853375,180,1.357377052307129
1668737587.1947486,190,1.3517215251922607
1668738600.4796674,200,1.343593955039978
1668739611.037712,210,1.3411686420440674
1668740622.9217365,220,1.3407968282699585
1668741637.3401806,230,1.3317381143569946
1668742649.7637684,240,1.3310753107070923
