Wall time,Step,Value
1668768822.025021,0,2.448819875717163
1668769829.5415907,10,1.7621029615402222
1668770839.0281487,20,1.6522595882415771
1668771849.4313045,30,1.5823943614959717
1668772857.7434258,40,1.5361014604568481
1668773866.6986868,50,1.5073294639587402
1668774875.315968,60,1.4826830625534058
1668775883.4845922,70,1.4651906490325928
1668776895.0095584,80,1.4449687004089355
1668777901.8626332,90,1.42644202709198
1668778910.9715838,100,1.4153932332992554
1668779920.1715806,110,1.4053573608398438
1668780928.6450605,120,1.3957576751708984
1668781938.327473,130,1.3802640438079834
1668782947.9864395,140,1.3736289739608765
1668783957.9740417,150,1.3688322305679321
1668784974.480598,160,1.35630202293396
1668785987.8082678,170,1.3541860580444336
1668787005.2114542,180,1.3401046991348267
1668788018.2804472,190,1.3381890058517456
1668789025.5273223,200,1.3378864526748657
1668790034.1434965,210,1.3319814205169678
1668791041.1678514,220,1.3278855085372925
1668792051.6082065,230,1.3282840251922607
1668793063.0641513,240,1.3198699951171875
