Wall time,Step,Value
1668797835.0001206,0,2.226804256439209
1668798662.3229039,10,1.5792704820632935
1668799478.5435297,20,1.4998526573181152
1668800301.2491329,30,1.4555214643478394
1668801120.7452176,40,1.4144670963287354
1668801945.4579215,50,1.3688633441925049
1668802768.657748,60,1.3608603477478027
1668803593.0167668,70,1.3353536128997803
1668804415.9048169,80,1.3289815187454224
1668805239.6139295,90,1.3113707304000854
1668806057.8960395,100,1.2972183227539062
1668806882.9469922,110,1.3187123537063599
1668807706.2372522,120,1.2880767583847046
1668808531.7143042,130,1.280742883682251
1668809353.6486337,140,1.280699610710144
1668810177.9530363,150,1.2852286100387573
1668810999.0929651,160,1.2581968307495117
1668811819.7734048,170,1.2683956623077393
1668812644.4453094,180,1.2559407949447632
1668813467.3413427,190,1.254016637802124
1668814292.486908,200,1.2391395568847656
1668815116.7715642,210,1.248508095741272
1668815941.611756,220,1.2483460903167725
1668816768.1140516,230,1.249265432357788
1668817588.6542766,240,1.236460566520691
