Wall time,Step,Value
1668795231.6431842,0,1.5801154375076294
1668795282.96048,10,1.2284798622131348
1668795332.4325824,20,1.1704243421554565
1668795384.1703942,30,1.1445980072021484
1668795435.0294375,40,1.1252702474594116
1668795485.3735929,50,1.1073360443115234
1668795534.4112086,60,1.0952152013778687
1668795586.0894732,70,1.0838713645935059
1668795636.029704,80,1.0799974203109741
1668795685.3221405,90,1.070821762084961
1668795735.9187355,100,1.0641940832138062
1668795786.7506177,110,1.060845971107483
1668795837.4960418,120,1.05397367477417
1668795887.734087,130,1.0481325387954712
1668795937.406941,140,1.0451314449310303
1668795988.3434672,150,1.0434242486953735
1668796038.7338717,160,1.037790298461914
1668796089.5499783,170,1.0341845750808716
1668796140.058721,180,1.0305801630020142
1668796190.3595269,190,1.0352143049240112
1668796241.0039475,200,1.031992793083191
1668796292.323181,210,1.027564287185669
1668796341.9459343,220,1.0199918746948242
1668796391.917858,230,1.0215376615524292
1668796442.3904324,240,1.0240663290023804
