Wall time,Step,Value
1668818411.9850519,0,2.2339718341827393
1668819232.2746763,10,1.5807478427886963
1668820054.293146,20,1.4684239625930786
1668820875.484682,30,1.422826886177063
1668821698.9879801,40,1.382391333580017
1668822521.653801,50,1.3529268503189087
1668823343.7373347,60,1.3504822254180908
1668824164.0845966,70,1.3385709524154663
1668824984.5352178,80,1.3228638172149658
1668825807.602114,90,1.3236361742019653
1668826633.9204454,100,1.3180577754974365
1668827461.4936862,110,1.306349277496338
1668828280.074116,120,1.2868858575820923
1668829108.4345305,130,1.2835454940795898
1668829930.9265406,140,1.281493902206421
1668830757.543085,150,1.272769808769226
1668831579.81859,160,1.2729899883270264
1668832403.880728,170,1.2613623142242432
1668833228.2093368,180,1.256569266319275
1668834049.0248544,190,1.2504558563232422
1668834870.287996,200,1.2480562925338745
1668835693.294085,210,1.239087700843811
1668836515.1436393,220,1.2405678033828735
1668837334.7435453,230,1.23366379737854
1668838156.2086046,240,1.2536455392837524
