Wall time,Step,Value
1668768822.0254807,0,0.3698222041130066
1668769829.5416653,10,0.5041400194168091
1668770839.0282307,20,0.5306297540664673
1668771849.4313984,30,0.555019199848175
1668772857.7435105,40,0.5660263299942017
1668773866.69876,50,0.5748452544212341
1668774875.3160462,60,0.5791667103767395
1668775883.4846766,70,0.5820037126541138
1668776895.0096316,80,0.5890632271766663
1668777901.8627145,90,0.5943963527679443
1668778910.9716542,100,0.5951331257820129
1668779920.1716652,110,0.6050406098365784
1668780928.645146,120,0.6057114005088806
1668781938.327546,130,0.604270875453949
1668782947.986511,140,0.6074597835540771
1668783957.9741113,150,0.6114403605461121
1668784974.480673,160,0.6117042899131775
1668785987.808341,170,0.6087023615837097
1668787005.21153,180,0.6143983602523804
1668788018.2805212,190,0.6181700229644775
1668789025.5273972,200,0.6174992322921753
1668790034.1435714,210,0.6174002885818481
1668791041.1679263,220,0.6215788125991821
1668792051.608288,230,0.6162347197532654
1668793063.0642402,240,0.6196764707565308
