Wall time,Step,Value
1668796494.526603,0,0.6074707508087158
1668796544.8281102,10,0.6521371006965637
1668796595.6879535,20,0.6666409969329834
1668796646.1941388,30,0.6698628664016724
1668796696.0993807,40,0.6746461987495422
1668796746.0738919,50,0.6792865991592407
1668796795.8137662,60,0.6853344440460205
1668796846.6956036,70,0.6839709281921387
1668796898.0203698,80,0.6872037649154663
1668796948.3530507,90,0.6892600655555725
1668796997.8282022,100,0.6890621185302734
1668797048.258374,110,0.6865110397338867
1668797099.3645968,120,0.689424991607666
1668797149.9333014,130,0.6923499703407288
1668797200.985312,140,0.692514955997467
1668797250.6772494,150,0.6915912628173828
1668797301.0825224,160,0.6928118467330933
1668797350.8462296,170,0.6939883828163147
1668797401.870881,180,0.6973862051963806
1668797452.4100056,190,0.6959017515182495
1668797503.2984622,200,0.6951209902763367
1668797554.670693,210,0.6940653920173645
1668797605.6589756,220,0.6974081993103027
1668797655.8737223,230,0.6976171135902405
1668797706.263768,240,0.700421154499054
