Wall time,Step,Value
1668718339.6643982,0,0.36780989170074463
1668719354.2483168,10,0.487909734249115
1668720368.0843103,20,0.5259343981742859
1668721381.6558173,30,0.5426375269889832
1668722397.8019643,40,0.555448055267334
1668723412.4860866,50,0.5630024075508118
1668724425.8615189,60,0.5704137682914734
1668725437.3900385,70,0.5794636011123657
1668726449.1052072,80,0.583103358745575
1668727463.0743887,90,0.5918782353401184
1668728476.4431083,100,0.5939785242080688
1668729490.7878604,110,0.6005212068557739
1668730501.4428098,120,0.5911964774131775
1668731514.9228468,130,0.6075807213783264
1668732527.3245096,140,0.6004222631454468
1668733539.6267257,150,0.6050845980644226
1668734551.328146,160,0.605678379535675
1668735562.822595,170,0.6102747917175293
1668736575.685415,180,0.6071628928184509
1668737587.1948214,190,0.6120342016220093
1668738600.4797554,200,0.6152010560035706
1668739611.0377886,210,0.6143103837966919
1668740622.9218094,220,0.6129798293113708
1668741637.340251,230,0.6163007020950317
1668742649.7638464,240,0.6144643425941467
