Wall time,Step,Value
1668793978.5881226,0,0.5984209775924683
1668794030.0103953,10,0.6508835554122925
1668794079.9384851,20,0.6669818758964539
1668794129.5478861,30,0.6716222763061523
1668794179.7419815,40,0.6791656017303467
1668794229.20761,50,0.6814308166503906
1668794279.3509996,60,0.6838829517364502
1668794328.6879466,70,0.6845097541809082
1668794378.2497728,80,0.6855543851852417
1668794427.4227521,90,0.6855213642120361
1668794477.4164839,100,0.692064106464386
1668794528.0463848,110,0.6924819350242615
1668794579.011247,120,0.6944282650947571
1668794627.892509,130,0.6967044472694397
1668794678.5046372,140,0.6989916563034058
1668794729.5091057,150,0.6959457397460938
1668794780.445643,160,0.6980350017547607
1668794829.4543455,170,0.6990026235580444
1668794879.977517,180,0.6934605836868286
1668794930.2799056,190,0.6998933553695679
1668794978.8520598,200,0.6973092555999756
1668795028.8255913,210,0.7019276022911072
1668795078.8767438,220,0.6993435025215149
1668795129.1595304,230,0.7008060216903687
1668795179.5814216,240,0.6984418630599976
