Wall time,Step,Value
1668797835.000577,0,0.42704612016677856
1668798662.3230019,10,0.544880747795105
1668799478.5436041,20,0.571601390838623
1668800301.2492087,30,0.5802993178367615
1668801120.7453032,40,0.6148272156715393
1668801945.4579976,50,0.5991247296333313
1668802768.6578236,60,0.5979810953140259
1668803593.0168586,70,0.6114623546600342
1668804415.9049106,80,0.6090322136878967
1668805239.6140006,90,0.6233822107315063
1668806057.8961258,100,0.6216998100280762
1668806882.9470694,110,0.6142883896827698
1668807706.2373307,120,0.6297379732131958
1668808531.7143908,130,0.6278356313705444
1668809353.648707,140,0.6325749754905701
1668810177.95312,150,0.6260212659835815
1668810999.0930605,160,0.6515873074531555
1668811819.773495,170,0.6311014890670776
1668812644.4453824,180,0.6290012001991272
1668813467.3414214,190,0.643197238445282
1668814292.486982,200,0.6323660612106323
1668815116.7716408,210,0.6337955594062805
1668815941.6118312,220,0.6507185697555542
1668816768.1141276,230,0.6370503902435303
1668817588.6543539,240,0.6384359002113342
