Wall time,Step,Value
1668838974.286645,0,0.43021300435066223
1668839793.4526856,10,0.5419337749481201
1668840614.8830981,20,0.5869739651679993
1668841434.5833852,30,0.5922301411628723
1668842253.5413303,40,0.5833342671394348
1668843070.37954,50,0.596419632434845
1668843892.4968975,60,0.6118142604827881
1668844718.0986357,70,0.619269609451294
1668845536.2144747,80,0.6059423089027405
1668846358.7967446,90,0.619390606880188
1668847176.861413,100,0.6078446507453918
1668847997.0979707,110,0.6224914789199829
1668848817.2726896,120,0.6249106526374817
1668849634.0173175,130,0.6214688420295715
1668850456.6075358,140,0.634389340877533
1668851273.0874093,150,0.6312334537506104
1668852096.1255023,160,0.633333683013916
1668852916.020041,170,0.6333886981010437
1668853731.8016553,180,0.6297489404678345
1668854545.6010442,190,0.6332787275314331
1668855370.5992486,200,0.6342244148254395
1668856194.046057,210,0.6402062773704529
1668857010.4447384,220,0.6443848013877869
1668857829.93964,230,0.6427794098854065
1668858649.9111645,240,0.6309035420417786
