Wall time,Step,Value
1668743663.2108831,0,0.3773215711116791
1668744673.2625332,10,0.5045139193534851
1668745682.4680192,20,0.542615532875061
1668746691.3074512,30,0.5564596652984619
1668747701.022224,40,0.5659603476524353
1668748712.4765282,50,0.577869176864624
1668749720.3813145,60,0.5865890979766846
1668750727.2501185,70,0.5908446311950684
1668751732.660137,80,0.5908886194229126
1668752736.7107744,90,0.5900529026985168
1668753743.3774698,100,0.6007301211357117
1668754745.4740953,110,0.6073388457298279
1668755750.9386353,120,0.6064481139183044
1668756754.3180542,130,0.6060412526130676
1668757760.5231926,140,0.6094830632209778
1668758765.6489387,150,0.6084824204444885
1668759771.269232,160,0.6128588914871216
1668760775.3107555,170,0.6128588914871216
1668761783.0615282,180,0.6162236928939819
1668762789.8290935,190,0.6166195869445801
1668763795.4608233,200,0.619269609451294
1668764800.6177487,210,0.6203252673149109
1668765807.944392,220,0.6206441521644592
1668766811.6454973,230,0.6197314858436584
1668767815.9581072,240,0.6190606951713562
