,ids,pvalue_less,pvalue_greater
245,1182,0.1277,1.0
246,1183,1.0,1.0
247,1184,0.0001,1.0
248,1185,0.0001,1.0
249,1186,1.0,1.0
250,1187,1.0,0.0001
251,1189,0.0001,1.0
252,1190,1.0,1.0
253,1191,1.0,1.0
254,1192,0.4982,1.0
255,1193,1.0,0.0001
256,1194,0.0955,0.9286
257,1195,1.0,1.0
258,1196,1.0,1.0
259,1197,1.0,1.0
260,1198,1.0,0.0001
261,1199,1.0,1.0
262,1200,1.0,1.0
263,1201,1.0,1.0
264,1202,0.0021,1.0
265,1203,1.0,1.0
266,1204,1.0,0.0001
267,1205,1.0,0.0001
268,1206,1.0,0.0001
269,1207,1.0,1.0
270,1208,1.0,0.0001
271,1209,1.0,1.0
272,1210,1.0,0.0001
273,1211,0.9996,0.001
274,1212,1.0,1.0
275,1213,1.0,1.0
276,1214,1.0,0.5224
277,1215,0.0001,1.0
278,1216,0.0001,1.0
279,1217,1.0,1.0
280,1218,1.0,1.0
281,1219,0.7552,0.7392
282,1220,1.0,1.0
283,1221,0.2374,1.0
284,1222,1.0,1.0
285,1223,1.0,0.0001
286,1224,1.0,0.0001
287,1225,0.0001,1.0
288,1226,0.4677,0.8985
289,1227,1.0,1.0
290,1228,0.9266,0.3443
291,1229,0.0037,0.998
292,1230,1.0,0.0001
293,1231,0.3164,0.7365
294,1232,0.9395,0.1742
295,1233,1.0,1.0
296,1234,1.0,1.0
297,1235,0.0001,1.0
298,1236,1.0,0.0001
299,1237,1.0,1.0
300,1238,0.0001,1.0
301,1239,0.0001,1.0
302,1240,0.0001,1.0
303,1241,1.0,0.4879
304,1242,0.7745,0.2773
305,1243,1.0,1.0
306,1244,1.0,1.0
307,1245,1.0,1.0
308,1246,1.0,1.0
309,1247,1.0,0.2418
310,1248,1.0,0.0001
311,1249,1.0,1.0
312,1250,1.0,0.5111
313,1251,0.9798,0.0563
314,1252,1.0,0.4934
315,1253,1.0,1.0
316,1254,1.0,1.0
317,1255,1.0,1.0
318,1256,0.6514,0.6004
319,1257,1.0,0.0001
320,1258,1.0,0.0001
321,1259,1.0,1.0
322,1260,1.0,0.0001
323,1261,0.9849,0.0176
324,1262,1.0,1.0
325,1263,0.0001,1.0
326,1264,1.0,1.0
327,1265,0.9999,0.0009
328,1266,0.0001,1.0
329,1267,1.0,1.0
330,1268,0.0001,1.0
331,1269,1.0,1.0
332,1270,1.0,1.0
333,1271,1.0,1.0
334,1272,0.0332,0.9974
335,1273,1.0,1.0
336,1274,1.0,1.0
337,1275,1.0,1.0
338,1276,1.0,0.5163
339,1277,1.0,1.0
340,1278,1.0,1.0
341,1279,1.0,1.0
342,1280,0.1332,0.9235
343,1281,1.0,0.0001
344,1282,1.0,0.0001
345,1283,1.0,1.0
346,1284,0.0888,0.9675
347,1285,1.0,1.0
348,1286,1.0,0.0001
349,1287,0.7451,0.7609
350,1288,1.0,0.0001
351,1289,1.0,0.4963
352,1290,1.0,0.0001
353,1291,1.0,1.0
354,1292,0.8464,0.3469
355,1293,1.0,0.0001
356,1294,0.4738,1.0
357,1295,0.5269,0.8635
358,1296,1.0,1.0
359,1297,0.1064,0.9373
360,1298,1.0,1.0
361,1299,1.0,1.0
362,1300,1.0,1.0
363,1301,0.0001,1.0
364,1302,1.0,1.0
365,1303,1.0,0.4855
366,1304,1.0,1.0
367,1305,0.0001,1.0
368,1306,0.0001,1.0
369,1307,1.0,0.0001
370,1308,1.0,1.0
371,1309,1.0,1.0
372,1310,1.0,0.2518
373,1311,1.0,1.0
374,1312,1.0,1.0
375,1313,1.0,1.0
376,1314,1.0,1.0
377,1315,0.0146,0.9884
378,1316,1.0,1.0
379,1317,1.0,1.0
380,1318,1.0,0.0811
381,1319,1.0,0.0001
382,1320,1.0,1.0
383,1321,1.0,1.0
384,1322,1.0,0.0001
385,1323,1.0,1.0
386,1324,0.0018,0.9996
387,1325,0.0001,1.0
388,1327,0.0001,1.0
389,1328,1.0,1.0
390,1329,0.0001,1.0
391,1330,0.0001,1.0
392,1707,0.0001,1.0
393,1833,1.0,1.0
394,1874,1.0,0.0001
395,1875,1.0,1.0
396,1912,1.0,1.0
397,1921,0.491,1.0
398,1930,0.9626,0.2234
399,1938,1.0,1.0
400,1940,1.0,1.0
401,1944,1.0,1.0
402,1956,1.0,1.0
403,1958,1.0,1.0
404,1965,0.2308,1.0
405,1978,1.0,1.0
406,1980,1.0,1.0
407,1984,0.9996,0.0052
408,1985,0.9886,0.0989
409,1991,0.79,0.3891
410,1993,0.0001,1.0
411,1995,0.0001,1.0
412,1996,0.7448,0.4719
413,1997,1.0,0.4879
414,1998,0.0002,1.0
415,1999,0.2518,1.0
416,2000,1.0,0.0001
417,2001,1.0,1.0
418,2002,1.0,1.0
419,2003,1.0,1.0
420,2004,1.0,1.0
421,2005,0.8731,0.2668
422,2006,1.0,1.0
423,2007,0.0001,1.0
424,2008,0.0645,1.0
425,2009,0.0018,1.0
426,2010,1.0,0.0001
427,2011,1.0,0.4884
428,2012,1.0,0.0001
429,2013,1.0,1.0
430,2014,1.0,1.0
431,2015,1.0,0.0001
432,2016,0.0001,1.0
433,2017,1.0,0.0001
434,2018,1.0,1.0
435,2019,1.0,0.0001
436,2020,1.0,0.0001
437,2021,0.0001,1.0
438,2022,1.0,1.0
439,2023,1.0,0.0001
440,2024,1.0,1.0
441,2025,0.0385,0.9884
442,2026,1.0,1.0
443,2027,1.0,1.0
444,2028,1.0,1.0
445,2029,0.0001,1.0
446,2030,1.0,1.0
447,2031,1.0,1.0
448,2032,0.0001,1.0
449,2033,0.8148,0.2329
450,2034,0.0001,1.0
451,2035,1.0,1.0
452,2036,1.0,0.0001
453,2037,1.0,0.0001
454,2038,1.0,0.0001
455,2039,1.0,1.0
456,2041,0.0001,1.0
457,2042,1.0,1.0
458,2043,1.0,1.0
459,2044,0.9018,0.1442
460,2045,1.0,0.2501
461,2046,1.0,1.0
462,2047,1.0,1.0
