ids,pvalue_less,pvalue_greater
346,0.000999000999000999,1.0
398,0.8521478521478522,0.5474525474525475
451,1.0,1.0
480,0.9020979020979021,0.12787212787212787
488,0.5384615384615384,0.8581418581418582
490,1.0,1.0
526,0.6623376623376623,0.5374625374625375
537,1.0,0.2807192807192807
540,1.0,0.02197802197802198
602,0.000999000999000999,1.0
616,1.0,1.0
666,1.0,1.0
682,1.0,0.000999000999000999
683,0.000999000999000999,1.0
685,1.0,0.026973026973026972
688,1.0,0.000999000999000999
690,1.0,0.000999000999000999
691,1.0,0.03996003996003996
692,1.0,0.004995004995004995
693,1.0,1.0
694,0.000999000999000999,1.0
696,1.0,0.000999000999000999
697,1.0,1.0
698,0.987012987012987,0.055944055944055944
699,1.0,1.0
700,1.0,1.0
701,1.0,1.0
702,1.0,0.000999000999000999
703,0.000999000999000999,1.0
704,1.0,0.000999000999000999
705,1.0,1.0
706,0.000999000999000999,1.0
707,1.0,1.0
708,0.000999000999000999,1.0
709,1.0,1.0
710,1.0,0.000999000999000999
711,1.0,0.000999000999000999
712,1.0,1.0
713,0.5164835164835165,0.8771228771228772
714,1.0,0.000999000999000999
715,1.0,0.000999000999000999
716,1.0,1.0
717,1.0,0.000999000999000999
718,1.0,1.0
719,1.0,0.000999000999000999
720,1.0,0.5524475524475524
721,0.988011988011988,0.04795204795204795
722,1.0,0.000999000999000999
723,1.0,0.5124875124875125
724,1.0,1.0
725,1.0,1.0
726,1.0,1.0
727,0.000999000999000999,1.0
728,1.0,0.000999000999000999
729,1.0,1.0
730,1.0,0.5484515484515484
731,1.0,1.0
732,1.0,1.0
733,1.0,0.000999000999000999
734,1.0,0.000999000999000999
735,1.0,1.0
736,1.0,1.0
737,1.0,1.0
738,1.0,0.000999000999000999
739,1.0,0.000999000999000999
740,0.000999000999000999,1.0
741,1.0,0.000999000999000999
742,1.0,0.000999000999000999
743,0.001998001998001998,1.0
744,1.0,0.002997002997002997
745,1.0,0.000999000999000999
747,1.0,0.000999000999000999
748,0.6203796203796204,0.5854145854145855
749,1.0,1.0
750,0.9340659340659341,0.27172827172827174
751,1.0,1.0
752,1.0,0.13286713286713286
753,1.0,1.0
754,1.0,1.0
755,1.0,0.000999000999000999
756,0.945054945054945,0.1018981018981019
757,1.0,1.0
758,0.000999000999000999,1.0
759,1.0,1.0
760,1.0,1.0
761,1.0,0.013986013986013986
762,1.0,0.07292707292707293
763,0.000999000999000999,1.0
764,1.0,0.25874125874125875
765,0.000999000999000999,1.0
766,1.0,0.000999000999000999
767,0.000999000999000999,1.0
768,1.0,0.4995004995004995
769,0.000999000999000999,1.0
770,0.000999000999000999,1.0
771,1.0,0.5374625374625375
772,0.18581418581418582,1.0
773,1.0,1.0
774,1.0,0.23276723276723277
775,1.0,1.0
776,1.0,1.0
777,1.0,1.0
778,0.000999000999000999,1.0
779,1.0,1.0
780,1.0,1.0
781,1.0,1.0
782,0.004995004995004995,0.998001998001998
783,0.985014985014985,0.013986013986013986
784,1.0,1.0
785,1.0,1.0
786,1.0,1.0
787,0.000999000999000999,1.0
788,1.0,0.000999000999000999
789,1.0,1.0
790,0.5114885114885115,1.0
791,1.0,1.0
792,1.0,0.5474525474525475
793,0.998001998001998,0.000999000999000999
794,1.0,0.000999000999000999
795,1.0,0.000999000999000999
796,1.0,0.000999000999000999
797,0.000999000999000999,1.0
798,1.0,1.0
799,0.01098901098901099,0.997002997002997
800,1.0,0.000999000999000999
801,0.001998001998001998,1.0
802,1.0,1.0
804,1.0,0.000999000999000999
811,1.0,1.0
814,0.939060939060939,0.32867132867132864
829,1.0,0.000999000999000999
830,1.0,0.11788211788211789
832,1.0,0.000999000999000999
861,0.7782217782217782,0.7222777222777222
870,1.0,1.0
872,1.0,0.000999000999000999
877,1.0,1.0
879,1.0,0.000999000999000999
882,1.0,1.0
888,1.0,1.0
897,1.0,1.0
898,1.0,1.0
906,0.000999000999000999,1.0
937,1.0,1.0
962,0.000999000999000999,1.0
976,1.0,0.14485514485514486
977,0.000999000999000999,1.0
978,1.0,0.000999000999000999
984,1.0,0.000999000999000999
993,1.0,1.0
995,0.000999000999000999,1.0
1004,1.0,1.0
1011,1.0,1.0
1012,0.9920079920079921,0.016983016983016984
1018,0.999000999000999,0.008991008991008992
1033,0.01998001998001998,1.0
1045,1.0,0.48151848151848153
1046,1.0,0.000999000999000999
1071,0.000999000999000999,1.0
1089,0.03396603396603397,1.0
1091,1.0,0.000999000999000999
1092,1.0,1.0
1093,1.0,0.000999000999000999
1094,1.0,1.0
1095,1.0,1.0
1096,1.0,1.0
1098,1.0,0.000999000999000999
1099,1.0,0.000999000999000999
1100,0.4905094905094905,1.0
1101,1.0,1.0
1102,1.0,0.5384615384615384
1103,1.0,1.0
1104,1.0,1.0
1105,1.0,1.0
1106,1.0,1.0
1107,1.0,0.000999000999000999
1108,1.0,1.0
1109,1.0,1.0
1112,1.0,0.000999000999000999
1113,1.0,1.0
1114,1.0,1.0
1117,1.0,0.000999000999000999
1118,1.0,0.000999000999000999
1119,1.0,0.000999000999000999
1120,0.000999000999000999,1.0
1121,0.000999000999000999,1.0
1122,1.0,0.004995004995004995
1123,1.0,0.000999000999000999
1124,1.0,1.0
1125,0.999000999000999,0.003996003996003996
1126,0.000999000999000999,1.0
1127,1.0,0.21978021978021978
1128,1.0,1.0
1129,1.0,1.0
1130,0.47952047952047955,1.0
1131,0.000999000999000999,1.0
1132,1.0,0.0969030969030969
1133,0.000999000999000999,1.0
1134,1.0,0.000999000999000999
1135,1.0,1.0
1136,1.0,0.000999000999000999
1137,0.000999000999000999,1.0
1138,0.000999000999000999,1.0
1139,1.0,0.000999000999000999
1140,0.000999000999000999,1.0
1141,1.0,1.0
1142,0.26073926073926074,1.0
1143,1.0,1.0
1144,1.0,1.0
1145,1.0,1.0
1146,0.000999000999000999,1.0
1147,1.0,1.0
1148,0.000999000999000999,1.0
1149,1.0,0.002997002997002997
1150,1.0,0.000999000999000999
1151,0.4975024975024975,1.0
1152,1.0,1.0
1153,1.0,1.0
1154,0.000999000999000999,1.0
1155,0.027972027972027972,0.99000999000999
1156,1.0,0.000999000999000999
1157,0.016983016983016984,1.0
1158,0.03596403596403597,1.0
1159,1.0,1.0
1160,0.000999000999000999,1.0
1161,1.0,0.4995004995004995
1162,1.0,1.0
1163,1.0,1.0
1164,1.0,0.23776223776223776
1165,1.0,1.0
1166,1.0,0.000999000999000999
1167,1.0,1.0
1168,0.000999000999000999,1.0
