id,pvalue
346,1.0
398,1.0
451,1.0
480,1.0
488,1.0
490,1.0
526,1.0
537,1.0
540,0.0009765625
602,1.0
616,1.0
666,1.0
682,1.0
683,1.0
685,1.0
688,1.0
690,0.0009765625
691,1.0
692,1.0
693,1.0
694,1.0
696,0.837890625
697,1.0
698,1.0
699,1.0
700,1.0
701,1.0
702,0.0009765625
703,1.0
704,1.0
705,1.0
706,1.0
707,1.0
708,0.2890625
709,1.0
710,0.0009765625
711,0.0009765625
712,1.0
713,1.0
714,1.0
715,0.9873046875
716,1.0
717,1.0
718,1.0
719,1.0
720,1.0
721,1.0
722,1.0
723,0.03515625
724,1.0
725,1.0
726,1.0
727,0.2958984375
728,0.0009765625
729,1.0
730,1.0
731,1.0
732,1.0
733,1.0
734,1.0
735,1.0
736,1.0
737,1.0
738,1.0
739,1.0
740,1.0
741,1.0
742,1.0
743,0.0283203125
744,1.0
745,1.0
747,1.0
748,1.0
749,1.0
750,1.0
751,1.0
752,1.0
753,1.0
754,1.0
755,0.8330078125
756,0.0009765625
757,1.0
758,1.0
759,1.0
760,1.0
761,1.0
762,1.0
763,1.0
764,0.1142578125
765,0.5458984375
766,1.0
767,1.0
768,1.0
769,0.2900390625
770,1.0
771,1.0
772,1.0
773,1.0
774,1.0
775,1.0
776,1.0
777,1.0
778,1.0
779,1.0
780,1.0
781,1.0
782,1.0
783,1.0
784,1.0
785,1.0
786,1.0
787,0.9951171875
788,1.0
789,1.0
790,1.0
791,1.0
792,0.03515625
793,0.0009765625
794,1.0
795,1.0
796,0.0009765625
797,1.0
798,1.0
799,1.0
800,0.0009765625
801,1.0
802,1.0
804,1.0
811,1.0
814,1.0
829,1.0
830,0.0009765625
832,0.0009765625
861,1.0
870,1.0
872,0.0009765625
877,1.0
879,1.0
882,1.0
888,1.0
897,1.0
898,1.0
906,1.0
937,1.0
962,1.0
976,1.0
977,0.0830078125
978,1.0
984,1.0
993,1.0
995,1.0
1004,1.0
1011,1.0
1012,1.0
1018,0.0009765625
1033,1.0
1045,1.0
1046,1.0
1071,1.0
1089,1.0
1091,0.0009765625
1092,1.0
1093,0.0009765625
1094,1.0
1095,1.0
1096,1.0
1098,1.0
1099,0.0009765625
1100,1.0
1101,1.0
1102,1.0
1103,1.0
1104,1.0
1105,1.0
1106,1.0
1107,1.0
1108,1.0
1109,1.0
1112,0.0009765625
1113,1.0
1114,1.0
1117,0.0009765625
1118,1.0
1119,0.0009765625
1120,0.0009765625
1121,1.0
1122,0.0009765625
1123,1.0
1124,1.0
1125,0.0009765625
1126,1.0
1127,1.0
1128,1.0
1129,1.0
1130,1.0
1131,1.0
1132,0.0009765625
1133,1.0
1134,0.0009765625
1135,1.0
1136,0.4140625
1137,0.0009765625
1138,1.0
1139,1.0
1140,0.7021484375
1141,1.0
1142,1.0
1143,1.0
1144,1.0
1145,1.0
1146,1.0
1147,1.0
1148,1.0
1149,1.0
1150,1.0
1151,1.0
1152,1.0
1153,1.0
1154,1.0
1155,1.0
1156,1.0
1157,1.0
1158,1.0
1159,1.0
1160,0.8330078125
1161,1.0
1162,1.0
1163,1.0
1164,1.0
1165,1.0
1166,0.0595703125
1167,1.0
1168,1.0
1170,0.0009765625
1171,1.0
1172,0.1142578125
1173,0.5205078125
1174,0.0009765625
1175,1.0
1176,1.0
1177,1.0
1178,1.0
1179,1.0
1180,1.0
1181,1.0
1182,0.8623046875
1183,1.0
1184,1.0
1185,1.0
1186,1.0
1187,1.0
1189,1.0
1190,1.0
1191,1.0
1192,1.0
1193,0.0009765625
1194,1.0
1195,1.0
1196,1.0
1197,1.0
1198,1.0
